model	dataset	ts_gap_mean	ts_gap_std	iso_gap_mean	iso_gap_std
bert-base-uncased	ChaosNLI-M	0.11934413351956907	0.004674924561365712	N/A	N/A
bert-base-uncased	ChaosNLI-S	0.049718890083790795	0.0023099900806856535	N/A	N/A
bert-large-uncased	ChaosNLI-M	0.07405476453168851	0.004125162724587459	N/A	N/A
bert-large-uncased	ChaosNLI-S	0.05237748735626314	0.005585841270552268	N/A	N/A
distilbert-base-uncased	ChaosNLI-M	0.1336461699202672	0.006927519738484277	N/A	N/A
distilbert-base-uncased	ChaosNLI-S	0.04480440246489093	0.0011722261603264064	N/A	N/A
resnet101	CIFAR-10H	0.003280468221007119	0.00038531802294579934	N/A	N/A
resnet18	CIFAR-10H	0.0023470931759523397	0.0002562369765036826	N/A	N/A
resnet50	CIFAR-10H	0.0028640865080530875	0.0008732069370759897	N/A	N/A
