model	dataset	ts_gap_mean	ts_gap_std	iso_gap_mean	iso_gap_std
bert-base-uncased	ChaosNLI-M	0.11934413351956907	0.004674924561365712	0.12592218110115574	0.005533594502241326
bert-base-uncased	ChaosNLI-S	0.049718890083790795	0.0023099900806856535	0.055146082410730074	0.0018547558875176757
bert-large-uncased	ChaosNLI-M	0.07399373819583348	0.00419981851154141	0.10083771823503206	0.0013195427260681057
bert-large-uncased	ChaosNLI-S	0.053396005142334245	0.007280604865162888	0.06879738669918352	0.0005037471653555952
distilbert-base-uncased	ChaosNLI-M	0.1336461699202672	0.006927519738484277	0.13589658882961916	0.005182215295086198
distilbert-base-uncased	ChaosNLI-S	0.04480440246489093	0.0011722261603264064	0.05364822577371305	0.0013625014274216516
resnet101	CIFAR-10H	0.003280468221007119	0.00038531802294579934	0.0033547634706670762	0.001032837635647813
resnet18	CIFAR-10H	0.0023470931759523397	0.0002562369765036826	0.002243789735185931	0.0003491085006093974
resnet50	CIFAR-10H	0.0028640865080530875	0.0008732069370759897	0.002366638435986723	8.776191967350023e-05
